id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.03,2014-03-27,0.16049406896869886,6.722895952008962,22.06918625306963,81.1264642848685,,,2.044245704410309,3.095526815691744,,,,6.1928411896317845,,0.0,0.9574271077563381,1.9148542155126762,1.2583057392117918,97.94920692469849,
AS14.03,2014-03-28,0.16816558204217186,30.956299165994395,14.640712665482138,74.18610416847294,,,15.354080923324586,15.179015489893416,,,6.521645842883528,,,0.0,1.0,0.5773502691896257,0.816496580927726,69.42047550339974,
AS14.03,2014-03-29,0.2060928744781149,4.98510280736516,7.592962728044547,97.46217780923598,,,,10.452446893218617,,,,,,,0.8366600265340756,0.5477225575051661,0.5477225575051662,91.71468711565993,
AS14.03,2014-03-30,0.2041013035622334,0.720675782396865,22.78771413292552,89.15372227743015,,,,19.69081029543754,,,,,19.675246186515686,,1.6431676725154984,1.0,0.8944271909999159,95.23132826057268,
AS14.03,2014-03-31,0.1345243468646739,29.626960608066046,44.862067242297876,64.79891664018571,21.161800403872384,,,6.05386950635707,,,,,,0.0,1.140175425099138,0.8944271909999159,0.547722557505166,95.35591300276762,
AS14.03,2014-04-01,0.15995887044995963,41.71837959407766,16.46488803646287,69.47496722350168,,,17.529879739081686,22.41236063091079,,,,,,0.0,0.894427190999916,0.8944271909999159,0.547722557505166,99.89052692243241,
AS14.03,2014-04-02,0.13347668525896447,11.148070726213872,19.966539117255753,79.82593334428174,10.17232013849348,,5.462427017056307,8.537647604710694,,17.75757259593777,,,,0.0,1.0954451150103324,0.5477225575051661,0.5477225575051662,104.5837210890054,
AS14.03,2014-04-03,0.1486694440574878,22.68146593078214,18.32494399187935,85.795422356714,7.851758868771591,,,9.587315501629107,,,,10.686504784072294,,,1.0,0.0,0.44721359549995787,83.91249436902207,
AS14.03,2014-04-04,0.1726180165043204,33.63256145021219,20.157678288240987,65.80091221718669,,,,31.268491629449482,,,,,,,0.8366600265340756,0.5477225575051662,0.44721359549995787,81.39019621746627,0.0
AS14.03,2014-04-05,0.1685442399694416,12.787722981287711,19.608061370932905,89.39738698760033,,,57.96880225029091,2.7529034611963175,,6.086775172453801,,,,0.0,0.8366600265340756,0.7071067811865476,0.5477225575051662,72.86843950203742,
